,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Rating,Height,Weight,Age,Preffered_Position,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Speed,Finishing,Penalties
0,Cristiano Ronaldo,Portugal,LS,7.0,Real Madrid,LW,7.0,94,185,80,32,LW/ST,4,5,93,92,22,23,31,63,96,94,29,92,93,85
1,Lionel Messi,Argentina,RW,10.0,FC Barcelona,RW,10.0,93,170,72,29,RW,4,4,95,97,13,26,28,48,95,93,22,87,95,74
2,Neymar,Brazil,LW,10.0,FC Barcelona,LW,11.0,92,174,68,25,LW,5,5,95,96,21,33,24,56,88,90,36,90,89,81
3,Luis Suárez,Uruguay,LS,9.0,FC Barcelona,ST,9.0,92,182,85,30,ST,4,4,91,86,30,38,45,78,93,92,41,77,94,85
4,Manuel Neuer,Germany,GK,1.0,FC Bayern,GK,1.0,92,193,92,31,GK,4,1,48,30,10,11,10,29,85,12,30,61,13,47
5,De Gea,Spain,GK,1.0,Manchester Utd,GK,1.0,90,193,82,26,GK,3,1,31,13,13,13,21,38,88,12,30,56,13,40
6,Robert Lewandowski,Poland,LS,9.0,FC Bayern,ST,9.0,90,185,79,28,ST,4,3,87,85,25,19,42,80,88,89,39,82,91,81
7,Gareth Bale,Wales,RS,11.0,Real Madrid,RW,11.0,90,183,74,27,RW,3,4,88,89,51,52,55,65,87,86,59,95,87,76
8,Zlatan Ibrahimović,Sweden,0,0.0,Manchester Utd,ST,9.0,90,195,95,35,ST,4,4,90,87,15,27,41,84,85,86,20,74,90,91
9,Thibaut Courtois,Belgium,GK,1.0,Chelsea,GK,13.0,89,199,91,24,GK,3,1,23,13,11,16,18,23,81,13,15,52,14,27
10,Jérôme Boateng,Germany,RCB,17.0,FC Bayern,Sub,17.0,89,192,90,28,CB,4,2,72,67,90,91,92,82,84,47,84,81,34,46
11,Eden Hazard,Belgium,LF,10.0,Chelsea,LW,10.0,89,173,74,26,LW/LM,4,4,91,93,25,22,27,54,85,85,41,87,81,86
12,Luka Modrić,Croatia,0,0.0,Real Madrid,RCM,19.0,89,174,65,31,CM/CDM,4,4,92,86,66,73,80,62,88,79,76,71,71,80
13,Mesut Özil,Germany,CAM,10.0,Arsenal,CAM,11.0,89,180,76,28,CAM/LW,2,4,90,86,22,19,16,48,87,84,24,68,75,67
14,Gonzalo Higuaín,Argentina,Sub,9.0,Juventus,ST,9.0,89,184,92,29,ST,4,3,85,84,12,18,22,50,86,92,20,81,92,70
15,Thiago Silva,Brazil,Sub,14.0,PSG,LCB,2.0,89,183,79,32,CB,3,3,80,68,90,89,91,77,84,59,91,76,38,71
16,Sergio Ramos,Spain,LCB,15.0,Real Madrid,LCB,4.0,89,183,75,31,CB,3,3,83,61,85,90,89,84,82,52,88,78,60,68
17,Sergio Agüero,Argentina,Sub,7.0,Manchester City,ST,10.0,89,173,70,28,ST,4,4,89,89,13,12,20,57,88,91,24,86,90,80
18,Paul Pogba,France,0,0.0,Manchester Utd,LCM,6.0,88,191,84,24,CM/CAM,4,5,90,89,68,76,75,72,86,84,70,79,71,76
19,Antoine Griezmann,France,CAM,7.0,Atlético Madrid,RS,7.0,88,176,67,26,ST/LW,3,4,86,87,23,11,22,69,90,91,35,86,88,71
20,Kevin De Bruyne,Belgium,RCM,7.0,Manchester City,RCM,17.0,88,181,68,25,CAM/RM/LM,4,4,86,85,30,40,39,68,88,84,52,78,83,77
21,Marco Reus,Germany,0,0.0,Bor. Dortmund,LW,11.0,88,182,76,27,LM/CAM,4,4,85,86,30,46,36,49,87,87,50,91,84,84
22,Alexis Sánchez,Chile,LW,7.0,Arsenal,ST,7.0,88,169,62,28,ST/RM,3,4,86,89,30,35,39,80,87,86,42,84,85,77
23,Toni Kroos,Germany,LDM,8.0,Real Madrid,LCM,8.0,88,182,78,27,CM/CDM,5,3,85,78,63,65,75,60,85,76,77,37,75,73
24,Diego Godín,Uruguay,LCB,3.0,Atlético Madrid,LCB,2.0,88,185,73,31,CB,3,2,76,53,87,89,86,86,85,48,88,67,42,50
25,Mats Hummels,Germany,LCB,5.0,FC Bayern,LCB,5.0,88,191,92,28,CB,3,2,77,68,85,87,92,66,85,56,89,65,55,68
26,Hugo Lloris,France,GK,1.0,Spurs,GK,1.0,88,188,82,30,GK,1,1,34,10,12,18,10,31,84,10,27,63,10,40
27,Giorgio Chiellini,Italy,LCB,3.0,Juventus,LCB,3.0,88,187,84,32,CB,2,2,55,56,92,90,92,90,78,28,88,79,33,50
28,Philipp Lahm,Germany,0,0.0,FC Bayern,RB,21.0,88,170,66,33,RB/CM,3,3,86,82,86,95,87,58,91,69,93,67,47,69
29,Pepe,Portugal,RCB,3.0,Real Madrid,RCB,3.0,88,188,81,34,CB,3,2,62,58,88,89,87,94,84,40,88,75,46,57
30,Petr Čech,Czech Republic,0,0.0,Arsenal,GK,33.0,88,196,90,34,GK,3,1,22,12,11,12,13,17,86,13,23,50,12,23
31,Gianluigi Buffon,Italy,GK,1.0,Juventus,GK,1.0,88,192,91,39,GK,2,1,28,26,10,11,11,38,80,12,28,43,15,22
32,Iniesta,Spain,LCM,6.0,FC Barcelona,LM,8.0,88,171,68,32,CM,4,4,93,90,57,56,57,58,88,85,68,73,73,71
33,Jan Oblak,Slovenia,GK,1.0,Atlético Madrid,GK,13.0,87,189,87,24,GK,3,1,16,12,14,18,12,34,84,11,19,60,11,11
34,James Rodríguez,Colombia,LAM,10.0,Real Madrid,CAM,10.0,87,180,75,25,CAM/RM,3,4,85,84,25,30,42,65,84,80,55,75,82,81
35,Pierre-Emerick Aubameyang,Gabon,0,0.0,Bor. Dortmund,ST,17.0,87,187,80,27,ST/RM,4,3,82,82,28,36,25,45,87,89,48,96,88,82
36,Leonardo Bonucci,Italy,CB,19.0,Juventus,RCB,19.0,87,190,85,29,CB,3,2,75,68,84,88,88,82,84,38,90,75,37,70
37,Arturo Vidal,Chile,CDM,8.0,FC Bayern,LDM,23.0,87,180,75,29,CM/CDM,4,3,83,76,76,84,89,91,89,80,89,74,77,84
38,Ivan Rakitić,Croatia,0,0.0,FC Barcelona,CAM,4.0,87,184,78,29,CM,3,3,87,84,52,53,65,67,79,80,69,65,83,78
39,David Silva,Spain,LM,21.0,Manchester City,LCM,21.0,87,173,67,31,CAM/LM,2,4,90,85,23,29,42,51,84,81,41,65,70,77
40,Samir Handanovič,Slovenia,0,0.0,Inter,GK,1.0,87,193,89,32,GK,2,1,24,18,17,13,10,25,83,12,22,57,10,23
41,Piqué,Spain,RCB,3.0,FC Barcelona,RCB,3.0,87,193,85,30,CB,3,2,78,59,86,86,87,72,84,58,88,73,64,69
42,Arjen Robben,Netherlands,RW,11.0,FC Bayern,RM,10.0,87,180,80,33,RM/RW,2,4,89,91,29,26,26,47,87,85,39,86,84,80
43,Paulo Dybala,Argentina,Sub,21.0,Juventus,CAM,21.0,86,177,74,23,ST/CAM,3,4,91,91,14,20,20,48,85,85,24,86,88,84
44,Marco Verratti,Italy,LCM,10.0,PSG,RCM,6.0,86,165,60,24,CM/CDM,4,4,87,88,76,79,82,89,87,71,83,64,52,64
45,David Alaba,Austria,LM,8.0,FC Bayern,LB,27.0,86,180,76,24,LB/CM,4,3,83,79,81,83,83,69,84,77,85,86,63,80
46,Henrikh Mkhitaryan,Armenia,0,0.0,Manchester Utd,RW,22.0,86,177,75,28,RM/CAM,5,4,89,87,49,55,53,69,83,83,68,84,77,72
47,Bernd Leno,Germany,Sub,12.0,Bayer 04,GK,1.0,86,190,83,25,GK,4,1,22,16,8,18,15,28,81,7,22,52,9,23
48,Thomas Müller,Germany,RM,13.0,FC Bayern,CAM,25.0,86,186,75,27,CF/CAM/ST,4,3,82,75,31,44,41,57,92,93,58,79,87,60
49,Sergio Busquets,Spain,CDM,5.0,FC Barcelona,CDM,5.0,86,189,76,28,CDM/CM,3,3,80,74,81,80,85,85,82,77,86,33,60,60
50,Thiago,Spain,Sub,10.0,FC Bayern,RDM,6.0,86,174,70,25,CM/CDM/LM,3,5,91,90,49,62,64,57,84,83,74,68,69,75
51,Jordi Alba,Spain,LB,18.0,FC Barcelona,LCB,18.0,86,170,68,28,LB,3,3,84,80,81,83,84,75,82,77,83,93,73,59
52,Coutinho,Brazil,RW,11.0,Liverpool,LW,10.0,86,171,68,24,LW/CAM,4,4,88,88,24,40,44,55,81,83,30,77,73,64
53,Ángel Di María,Argentina,LW,11.0,PSG,RW,11.0,86,180,75,29,RW/CAM,2,5,87,87,37,56,59,76,80,82,38,86,74,73
54,Diego Costa,Spain,ST,19.0,Chelsea,ST,19.0,86,188,85,28,ST,4,3,83,79,28,34,39,93,85,88,40,78,89,76
55,Edinson Cavani,Uruguay,RS,21.0,PSG,ST,9.0,86,184,71,30,ST,3,3,80,80,24,27,45,82,85,89,48,79,85,84
56,Radja Nainggolan,Belgium,Sub,16.0,Roma,LF,4.0,86,176,65,28,CM/CAM,3,3,85,80,78,88,85,88,87,88,86,78,76,63
57,Marcelo,Brazil,LB,16.0,Real Madrid,LB,12.0,86,174,75,28,LB,4,4,87,83,80,87,84,84,85,75,83,80,67,59
58,Claudio Marchisio,Italy,0,0.0,Juventus,Sub,8.0,86,180,75,31,CM/CDM,4,4,85,84,72,78,78,78,86,82,82,79,65,78
59,Miranda,Brazil,RCB,3.0,Inter,RCB,25.0,86,186,78,32,CB,3,2,67,62,89,89,90,83,82,43,88,76,43,49
60,Karim Benzema,France,0,0.0,Real Madrid,ST,9.0,86,187,79,29,ST,4,4,86,82,13,12,15,65,83,87,22,82,87,82
61,Cesc Fàbregas,Spain,0,0.0,Chelsea,Sub,4.0,86,175,74,29,CM/CAM,3,3,86,80,60,62,63,45,81,78,50,62,76,80
62,Franck Ribéry,France,0,0.0,FC Bayern,Sub,7.0,86,170,72,33,LM/LW,4,5,90,90,13,26,25,52,86,81,36,79,76,78
63,Santi Cazorla,Spain,0,0.0,Arsenal,Sub,19.0,86,168,66,32,CAM/CDM,5,4,87,86,58,52,64,64,85,82,64,65,77,80
64,Andrea Barzagli,Italy,RCB,15.0,Juventus,Sub,15.0,86,187,88,35,CB,3,2,65,60,90,90,90,74,82,28,92,79,27,60
65,Harry Kane,England,ST,9.0,Spurs,RS,10.0,85,188,86,23,ST,3,3,82,77,41,38,36,74,85,86,35,77,88,82
66,Alexandre Lacazette,France,0,0.0,Olym. Lyonnais,ST,10.0,85,175,73,25,ST,4,4,84,85,23,30,42,70,85,87,40,87,87,84
67,Keylor Navas,Costa Rica,0,0.0,Real Madrid,GK,1.0,85,185,78,30,GK,3,1,19,16,12,14,14,32,82,16,20,53,15,25
68,Romelu Lukaku,Belgium,ST,9.0,Everton,ST,10.0,85,190,94,23,ST,4,3,79,76,27,30,30,72,77,85,27,89,87,80
69,Christian Eriksen,Denmark,CM,10.0,Spurs,CAM,23.0,85,180,76,25,CAM/LM,5,4,86,84,38,22,56,44,82,81,45,74,75,67
70,İlkay Gündoğan,Germany,0,0.0,Manchester City,Sub,8.0,85,180,80,26,CM/CDM,4,4,88,87,57,64,64,68,87,77,79,74,69,76
71,Toby Alderweireld,Belgium,RCB,2.0,Spurs,CB,4.0,85,187,91,28,CB,3,2,70,61,86,83,88,79,84,56,86,69,45,60
72,Willian,Brazil,Sub,19.0,Chelsea,Sub,22.0,85,175,75,28,RM/CAM,4,4,86,87,43,51,62,44,81,78,55,86,75,60
73,Miralem Pjanić,Bosnia Herzegovina,0,0.0,Juventus,RDM,5.0,85,180,72,26,CM/CDM,4,4,89,86,60,64,64,62,84,76,68,75,70,79
74,Juan Mata,Spain,0,0.0,Manchester Utd,Sub,8.0,85,170,63,28,CAM/CM,3,3,88,83,25,21,28,52,85,84,39,63,80,81
75,Javi Martinez,Spain,Sub,4.0,FC Bayern,RCB,8.0,85,190,81,28,CB/CDM,3,2,71,62,82,87,86,87,83,57,85,53,55,52
76,Dimitri Payet,France,LM,8.0,Olym. Marseille,LW,11.0,85,175,77,30,LM/LW,4,4,90,89,29,39,36,57,76,79,37,75,76,76
77,Dries Mertens,Belgium,RF,14.0,Napoli,ST,14.0,85,169,61,29,LW/ST,4,4,88,88,30,40,40,59,80,81,36,87,77,78
78,Sokratis,Greece,RCB,19.0,Bor. Dortmund,CB,25.0,85,186,85,28,CB,3,2,58,58,87,86,89,90,81,50,80,83,44,38
79,Marek Hamšik,Slovakia,0,0.0,Napoli,LCM,17.0,85,183,79,29,CM,4,3,86,83,60,62,71,56,86,84,70,77,78,70
80,Blaise Matuidi,France,LDM,14.0,PSG,LCM,14.0,85,175,70,29,CDM/CM,2,2,77,73,83,81,85,85,84,68,85,79,65,56
